slot, dow, hour, int_demand, ext_demand
360, 5, 1, 26.0598, 0
361, 5, 2, 27.0918, 536.4286
362, 5, 3, 49.44, 566.4944
363, 5, 4, 56.226, 632.8659
364, 5, 5, 52.8252, 605.2582
365, 5, 6, 42.5485, 643.4105
366, 5, 7, 45.8587, 703.4776
367, 5, 8, 43.955, 721.5221
368, 5, 9, 37.0875, 851.3079
369, 5, 10, 28.0366, 795.9676
370, 5, 11, 26.4497, 882.6273
371, 5, 12, 20.1153, 768.3975
372, 5, 13, 23.0814, 824.1001
373, 5, 14, 44.6679, 734.7149
374, 5, 15, 43.5719, 851.5227
375, 5, 16, 47.3617, 707.4144
376, 5, 17, 48.0352, 765.6247
377, 5, 18, 51.8203, 733.352
378, 5, 19, 50.9389, 691.559
379, 5, 20, 40.5957, 911.6167
380, 5, 21, 43.8786, 708.9068
381, 5, 22, 37.0356, 737.2733
382, 5, 23, 37.0958, 637.1666
383, 6, 0, 42.9254, 657.4014
384, 6, 1, 40.4054, 629.3557
385, 6, 2, 44.722, 572.9245
386, 6, 3, 47.8727, 606.4312
387, 6, 4, 49.8446, 551.244
388, 6, 5, 41.2498, 697.6721
389, 6, 6, 45.246, 584.1308
390, 6, 7, 50.8362, 702.0748
391, 6, 8, 46.1481, 754.6842
392, 6, 9, 38.6884, 657.6509
393, 6, 10, 20.1074, 722.4733
394, 6, 11, 7.7881, 721.2849
395, 6, 12, 17.5425, 629.9042
396, 6, 13, 11.1331, 771.812
397, 6, 14, 18.1376, 674.3632
398, 6, 15, 19.2533, 699.9048
399, 6, 16, 42.5742, 772.3716
400, 6, 17, 38.799, 738.2384
401, 6, 18, 38.9143, 718.6619
402, 6, 19, 34.4525, 676.8767
403, 6, 20, 35.6055, 764.01
404, 6, 21, 38.8702, 689.4546
405, 6, 22, 38.063, 693.0386
406, 6, 23, 38.8773, 687.218
407, 7, 0, 46.2388, 689.9478
408, 7, 1, 44.5319, 600.7375
409, 7, 2, 39.0533, 649.6157
410, 7, 3, 46.1515, 649.6011
411, 7, 4, 42.0998, 634.7659
412, 7, 5, 40.3115, 587.6903
413, 7, 6, 43.9383, 662.2383
414, 7, 7, 48.4365, 733.7381
415, 7, 8, 46.1572, 763.0152
416, 7, 9, 19.5432, 761.1889
417, 7, 10, 12.8478, 737.8576
418, 7, 11, 20.2767, 765.3956
419, 7, 12, 14.1815, 672.5134
420, 7, 13, 11.3087, 785.179
421, 7, 14, 3.5431, 716.9329
422, 7, 15, 16.1366, 690.9326
423, 7, 16, 30.9174, 712.1099
424, 7, 17, 38.9053, 767.4132
425, 7, 18, 37.5132, 845.316
426, 7, 19, 35.4554, 746.5739
427, 7, 20, 32.6291, 725.1064
428, 7, 21, 31.6672, 856.8027
429, 7, 22, 32.5242, 831.7793
430, 7, 23, 30.3721, 825.9513
431, 1, 0, 32.5059, 878.4734
432, 1, 1, 40.4806, 780.7972
433, 1, 2, 47.8611, 730.2537
434, 1, 3, 39.5071, 821.3583
435, 1, 4, 40.0865, 900.3277
436, 1, 5, 45.7701, 797.5179
437, 1, 6, 46.3518, 673.2729
438, 1, 7, 43.4788, 757.4056
439, 1, 8, 36.2164, 765.6263
440, 1, 9, 36.1263, 796.6511
441, 1, 10, 26.8623, 918.828
442, 1, 11, 28.0377, 940.2851
443, 1, 12, 23.8027, 878.8939
444, 1, 13, 7.327, 982.0399
445, 1, 14, 28.0999, 784.1675
446, 1, 15, 35.3888, 787.7516
447, 1, 16, 39.6945, 803.2831
448, 1, 17, 41.9277, 791.7851
449, 1, 18, 48.5879, 715.0856
450, 1, 19, 50.9743, 877.7595
451, 1, 20, 45.4614, 856.5803
452, 1, 21, 44.3989, 837.1664
453, 1, 22, 44.792, 808.1186
454, 1, 23, 43.0183, 819.3226
455, 2, 0, 47.8771, 864.3907
456, 2, 1, 42.6411, 888.0973
457, 2, 2, 41.9826, 843.1514
458, 2, 3, 43.8329, 827.8068
459, 2, 4, 46.3748, 806.3816
460, 2, 5, 49.2807, 796.729
461, 2, 6, 46.8537, 754.5072
462, 2, 7, 44.2988, 820.6449
463, 2, 8, 46.8938, 912.2467
464, 2, 9, 27.9686, 939.4612
465, 2, 10, 31.1922, 961.2434
466, 2, 11, 43.459, 837.9281
467, 2, 12, 30.3669, 961.704
468, 2, 13, 11.5969, 906.0409
469, 2, 14, 37.8839, 814.9833
470, 2, 15, 42.1844, 863.9334
471, 2, 16, 39.949, 761.3673
472, 2, 17, 44.4826, 813.8918
473, 2, 18, 45.876, 825.2373
474, 2, 19, 44.2829, 788.9138
475, 2, 20, 39.8598, 907.113
476, 2, 21, 45.1592, 860.919
477, 2, 22, 41.8754, 894.3106
478, 2, 23, 43.2819, 853.1614
479, 3, 0, 42.6194, 875.0753
480, 3, 1, 46.9452, 764.3787
481, 3, 2, 45.7736, 790.5551
482, 3, 3, 47.0799, 823.4015
483, 3, 4, 45.4667, 781.1946
484, 3, 5, 48.1788, 685.0499
485, 3, 6, 55.2954, 775.6099
486, 3, 7, 48.9641, 797.9275
487, 3, 8, 45.9023, 860.5566
488, 3, 9, 34.6587, 897.8834
489, 3, 10, 24.9389, 842.8924
490, 3, 11, 18.209, 890.3598
491, 3, 12, 28.6102, 860.8424
492, 3, 13, 12.4523, 800.6042
493, 3, 14, 27.5645, 739.0522
494, 3, 15, 36.4289, 801.8464
495, 3, 16, 41.9684, 806.4244
496, 3, 17, 46.108, 815.7575
497, 3, 18, 45.0227, 748.2755
498, 3, 19, 42.5458, 821.8368
499, 3, 20, 40.1594, 838.3818
500, 3, 21, 39.7481, 733.8356
501, 3, 22, 39.5457, 772.3537
502, 3, 23, 37.4522, 773.3199
503, 4, 0, 44.1102, 680.5491
504, 4, 1, 41.6174, 769.3372
